document_id,title,domain,subdomain,entity_type,owner,status,version,valid_from,valid_to,region,business_unit,source_system,source_sheet,source_row,evidence_level,audience,language,tags,aliases,section,filepath
IQVIA-ATTRIBUTE-nps-scale,NPS Scale,IQVIA ChannelDynamics,Qualitative / Performance attributes,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,107,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|attributes|detailing|mailing|meeting|metrics-measures|nps|performance|qualitative|scale,Net Promoter Score Scale,Qualitative / Performance attributes,30_attributes/iqvia-attribute-nps-scale.md
IQVIA-ATTRIBUTE-representing-company,Representing company,IQVIA ChannelDynamics,Metrics specific to Detailing,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,110,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|company|detailing|metrics|metrics-measures|representing|specific,,Metrics specific to Detailing,30_attributes/iqvia-attribute-representing-company.md
IQVIA-ATTRIBUTE-contact-type,Contact Type,IQVIA ChannelDynamics,Metrics specific to Detailing,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,111,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|contact|detailing|mailing|metrics|metrics-measures|specific|type,,Metrics specific to Detailing,30_attributes/iqvia-attribute-contact-type.md
IQVIA-ATTRIBUTE-visit-location,Visit Location,IQVIA ChannelDynamics,Metrics specific to Detailing,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,120,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|detailing|location|metrics|metrics-measures|specific|visit,,Metrics specific to Detailing,30_attributes/iqvia-attribute-visit-location.md
IQVIA-ATTRIBUTE-visit-duration-minutes,Visit Duration (minutes),IQVIA ChannelDynamics,Metrics specific to Detailing,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,130,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|detailing|duration|metrics|metrics-measures|minutes|specific|visit,Visit Duration,Metrics specific to Detailing,30_attributes/iqvia-attribute-visit-duration-minutes.md
IQVIA-ATTRIBUTE-detail-duration-minutes,Detail Duration (minutes),IQVIA ChannelDynamics,Metrics specific to Detailing,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,131,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|detail|detailing|duration|metrics|metrics-measures|minutes|specific,Detail Duration,Metrics specific to Detailing,30_attributes/iqvia-attribute-detail-duration-minutes.md
IQVIA-ATTRIBUTE-prd-present,#PRD Present,IQVIA ChannelDynamics,Metrics specific to Detailing,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,132,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|detailing|metrics|metrics-measures|prd|present|specific,Number of Products Presented,Metrics specific to Detailing,30_attributes/iqvia-attribute-prd-present.md
IQVIA-ATTRIBUTE-prd-position,PRD Position,IQVIA ChannelDynamics,Metrics specific to Detailing,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,133,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|detailing|metrics|metrics-measures|position|prd|specific,Product Position,Metrics specific to Detailing,30_attributes/iqvia-attribute-prd-position.md
IQVIA-ATTRIBUTE-element-left-abstract-clinical-literature-data,Element left - Abstract & clinical literature/data,IQVIA ChannelDynamics,Metrics specific to Detailing,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,134,source_extract,"business,data,analytics,ai_engineering",en,abstract|attribute-definition|clinical|data|detailing|element|left|literature|metrics|metrics-measures|specific,,Metrics specific to Detailing,30_attributes/iqvia-attribute-element-left-abstract-clinical-literature-data.md
IQVIA-ATTRIBUTE-element-left-documentation,Element left - Documentation,IQVIA ChannelDynamics,Metrics specific to Detailing,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,135,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|detailing|documentation|element|left|metrics|metrics-measures|specific,,Metrics specific to Detailing,30_attributes/iqvia-attribute-element-left-documentation.md
IQVIA-ATTRIBUTE-element-left-promotional-product-literature,Element left - Promotional product literature,IQVIA ChannelDynamics,Metrics specific to Detailing,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,136,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|detailing|element|left|literature|metrics|metrics-measures|product|promotional|specific,,Metrics specific to Detailing,30_attributes/iqvia-attribute-element-left-promotional-product-literature.md
IQVIA-ATTRIBUTE-element-left-other,Element left - Other,IQVIA ChannelDynamics,Metrics specific to Detailing,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,137,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|detailing|element|left|metrics|metrics-measures|other|specific,,Metrics specific to Detailing,30_attributes/iqvia-attribute-element-left-other.md
IQVIA-ATTRIBUTE-element-left-patient-educational-literature,Element left - Patient educational literature,IQVIA ChannelDynamics,Metrics specific to Detailing,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,138,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|detailing|educational|element|left|literature|metrics|metrics-measures|patient|specific,,Metrics specific to Detailing,30_attributes/iqvia-attribute-element-left-patient-educational-literature.md
IQVIA-ATTRIBUTE-element-left-sample,Element left - Sample,IQVIA ChannelDynamics,Metrics specific to Detailing,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,139,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|detailing|element|left|metrics|metrics-measures|sample|specific,,Metrics specific to Detailing,30_attributes/iqvia-attribute-element-left-sample.md
IQVIA-ATTRIBUTE-sample-drop-visit,Sample Drop Visit,IQVIA ChannelDynamics,Metrics specific to Detailing,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,140,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|detailing|drop|metrics|metrics-measures|sample|specific|visit,,Metrics specific to Detailing,30_attributes/iqvia-attribute-sample-drop-visit.md
IQVIA-ATTRIBUTE-visual-aid-type,Visual Aid Type,IQVIA ChannelDynamics,Metrics specific to Detailing,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,143,source_extract,"business,data,analytics,ai_engineering",en,aid|attribute-definition|detailing|metrics|metrics-measures|specific|type|visual,,Metrics specific to Detailing,30_attributes/iqvia-attribute-visual-aid-type.md
IQVIA-ATTRIBUTE-visit-category,Visit Category,IQVIA ChannelDynamics,Metrics specific to Detailing,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,149,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|category|detailing|metrics|metrics-measures|specific|visit,,Metrics specific to Detailing,30_attributes/iqvia-attribute-visit-category.md
IQVIA-ATTRIBUTE-visit-function,Visit Function,IQVIA ChannelDynamics,Metrics specific to Detailing,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,154,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|detailing|function|metrics|metrics-measures|specific|visit,,Metrics specific to Detailing,30_attributes/iqvia-attribute-visit-function.md
IQVIA-ATTRIBUTE-visit-type,Visit Type,IQVIA ChannelDynamics,Metrics specific to Detailing,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,159,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|detailing|metrics|metrics-measures|specific|type|visit,,Metrics specific to Detailing,30_attributes/iqvia-attribute-visit-type.md
IQVIA-ATTRIBUTE-internet-automated-source,Internet Automated Source,IQVIA ChannelDynamics,Metrics specific to Detailing,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,163,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|automated|detailing|internet|metrics|metrics-measures|source|specific,,Metrics specific to Detailing,30_attributes/iqvia-attribute-internet-automated-source.md
IQVIA-ATTRIBUTE-meeting-type,Meeting type,IQVIA ChannelDynamics,Metrics specific to other channels,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,168,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|channels|meeting|metrics|metrics-measures|other|specific|type,,Metrics specific to other channels,30_attributes/iqvia-attribute-meeting-type.md
IQVIA-ATTRIBUTE-streaming-video-platform,Streaming video platform,IQVIA ChannelDynamics,Metrics specific to other channels,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,182,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|channels|meeting|metrics|metrics-measures|other|platform|specific|streaming|video,,Metrics specific to other channels,30_attributes/iqvia-attribute-streaming-video-platform.md
IQVIA-ATTRIBUTE-internet-automated-source,Internet Automated Source,IQVIA ChannelDynamics,Metrics specific to other channels,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,185,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|automated|channels|internet|meeting|metrics|metrics-measures|other|source|specific,,Metrics specific to other channels,30_attributes/iqvia-attribute-internet-automated-source.md
IQVIA-ATTRIBUTE-continuing-medical-education,Continuing medical education,IQVIA ChannelDynamics,Metrics specific to other channels,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,189,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|channels|continuing|education|medical|meeting|metrics|metrics-measures|other|specific,,Metrics specific to other channels,30_attributes/iqvia-attribute-continuing-medical-education.md
IQVIA-ATTRIBUTE-mailing-type,Mailing Type,IQVIA ChannelDynamics,Metrics specific to other channels,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,190,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|channels|mailing|metrics|metrics-measures|other|specific|type,,Metrics specific to other channels,30_attributes/iqvia-attribute-mailing-type.md
IQVIA-ATTRIBUTE-email-from-rep,Email from Rep,IQVIA ChannelDynamics,Metrics specific to other channels,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,194,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|channels|email|from|mailing|metrics|metrics-measures|other|rep|specific,,Metrics specific to other channels,30_attributes/iqvia-attribute-email-from-rep.md
IQVIA-ATTRIBUTE-email-with-link,Email with link,IQVIA ChannelDynamics,Metrics specific to other channels,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,198,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|channels|email|link|mailing|metrics|metrics-measures|other|specific|with,,Metrics specific to other channels,30_attributes/iqvia-attribute-email-with-link.md
IQVIA-ATTRIBUTE-clinical-trial-type,Clinical Trial Type,IQVIA ChannelDynamics,Metrics specific to other channels,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,202,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|channels|clinical|clinical-trial|metrics|metrics-measures|other|specific|trial|type,,Metrics specific to other channels,30_attributes/iqvia-attribute-clinical-trial-type.md
IQVIA-ATTRIBUTE-sample-type,Sample Type,IQVIA ChannelDynamics,Metrics specific to other channels,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,211,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|channels|metrics|metrics-measures|other|sample|specific|type,,Metrics specific to other channels,30_attributes/iqvia-attribute-sample-type.md
