measure_document_id,title,normalized_title,measure_group,measure_family_bucket,semantic_type,time_behavior,calculation_pattern,formula_explicitness,observed_classification,base_measure_candidates,likely_fact_table,source_confidence,source_files,review_status,notes
IQVIA-PROMO-MEASURE-contact-number-with-intention-to-increase-rx,Contact Number with intention to increase Rx,Contact Number with intention to increase Rx,Performance Measurement,performance_positive_prescribing,filtered_metric,MON|MQTR|QTR,FILTER(Contact Number USING Future Prescribing = INCREASE),pattern_inferred,partial,CONTACT_NUMBER|PRESCRIPTION_FUTURE_ID,f_channel_dynamic_data,high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Concetto presente ma con naming diverso.
IQVIA-PROMO-MEASURE-pct-of-contact-number-with-intention-to-increase-rx,% of Contact Number with intention to increase Rx,% of Contact Number with intention to increase Rx,Performance Measurement,performance_positive_prescribing,filtered_ratio,MON|MQTR|QTR,Filtered Contact Number / total contacts * 100,explicit_or_near_explicit,partial,CONTACT_NUMBER|PRESCRIPTION_FUTURE_ID,f_channel_dynamic_data,medium_high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Non formalizzata come misura autonoma.
IQVIA-PROMO-MEASURE-product-details-with-positive-prescribing,Product Details with Positive Prescribing,Product Details with Positive Prescribing,Performance Measurement,performance_positive_prescribing,filtered_metric,MON|MQTR|QTR,Positive prescribing filter on Product Details,explicit_or_near_explicit,covered_but_time_grain_gap,PRODUCT_DETAILS|PRESCRIPTION_FUTURE_ID,f_channel_dynamic_data,high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Molto vicino alla misura PBI esistente.
IQVIA-PROMO-MEASURE-contacts-with-positive-prescribing,Contacts with Positive Prescribing,Contacts with Positive Prescribing,Performance Measurement,performance_positive_prescribing,filtered_metric,MON|MQTR|QTR,Positive prescribing filter on Contact Number,explicit_or_near_explicit,covered_but_time_grain_gap,CONTACT_NUMBER|PRESCRIPTION_FUTURE_ID,f_channel_dynamic_data,high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Molto vicino alla misura PBI esistente.
IQVIA-PROMO-MEASURE-conversion-rate-pct-of-calls-converted-in-intention-to-prescribe,Conversion rate - % of Calls converted in intention to prescribe,Conversion rate - % of Calls converted in intention to prescribe,Performance Measurement,performance_positive_prescribing,derived_ratio,MON|MQTR|QTR,Positive prescribing calls / Product Details * 100,explicit_or_near_explicit,covered_but_time_grain_gap,PRODUCT_DETAILS|CONVERTED_CONTACTS,f_channel_dynamic_data,medium_high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Coperta nel modello attuale.
IQVIA-PROMO-MEASURE-conversion-rate-pct-of-contacts-converted-in-intention-to-prescribe,Conversion rate - % of Contacts converted in intention to prescribe,Conversion rate - % of Contacts converted in intention to prescribe,Performance Measurement,performance_positive_prescribing,derived_ratio,MON|MQTR|QTR,Positive prescribing contacts / Contact Number * 100,explicit_or_near_explicit,covered_but_time_grain_gap,CONTACT_NUMBER|CONVERTED_CONTACTS,f_channel_dynamic_data,medium_high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Coperta nel modello attuale.
IQVIA-PROMO-MEASURE-weighted-calls,Weighted Calls,Weighted Calls,Weighted Calls Analysis,weighted_calls_analytical,base_metric_dynamic,MON|MQTR,"""Calls&Mentions"".""@{measure}{WCalls}"" or PERIODROLLING(...,-2,0)",needs_validation,partial,WEIGHTED_CALLS,f_channel_dynamic_data,medium,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,"Base disponibile, ma OAS la usa in una batteria dinamica piu ampia."
IQVIA-PROMO-MEASURE-sovpct-on-weighted-calls,SOV% on Weighted Calls,SOV% on Weighted Calls,Weighted Calls Analysis,weighted_calls_analytical,derived_ratio,MON|MQTR,Menarini filtered WCalls / market WCalls * 100,explicit_or_near_explicit,partial,WEIGHTED_CALLS,f_channel_dynamic_data,medium_high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Non esiste una misura esplicita SOV su Weighted Calls.
IQVIA-PROMO-MEASURE-deltapct-on-weighted-calls-vs-py,+/-% on Weighted Calls vs PY,+/-% on Weighted Calls vs PY,Weighted Calls Analysis,weighted_calls_analytical,derived_growth_pct,MON|MQTR,Growth % on WCalls and MQTR WCalls,explicit_or_near_explicit,missing,WEIGHTED_CALLS,f_channel_dynamic_data,medium_high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Mancano le varianti comparative.
IQVIA-PROMO-MEASURE-index-family,Index family,Index family,Weighted Calls Analysis,weighted_calls_analytical,derived_index,MON|MQTR,Corporation share / market share * 100,explicit_or_near_explicit,missing,WEIGHTED_CALLS,f_channel_dynamic_data,medium,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Famiglia analitica OAS avanzata non presente nel modello PBI.
IQVIA-PROMO-MEASURE-pct-corp-on-total-pct-market-on-total,% Corp on total / % Market on total,% Corp on total / % Market on total,Weighted Calls Analysis,weighted_calls_analytical,derived_ratio,MON|MQTR,Corp share on total and market share on total,explicit_or_near_explicit,missing,WEIGHTED_CALLS,f_channel_dynamic_data,medium,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Necessaria per i report index / ranking OAS.
