scope,report_group,oas_caption,oas_measure_family,time_frame,classification,formula_pattern,pbi_status,target_pbi_measure_family,notes
promo,Monthly Prescription Overview,Prescription Spend Absolute,base_metric_segmented,MON,derivable,@{var_mea_pre}{Spending Total Euro} / 1000 by current/future prescribing,derivable,Promo Spend by Prescribing Segments,Derivabile da Promo Spend con filtri su Current/Future Prescribing.
promo,Monthly Prescription Overview,Prescription Spend %,derived_ratio,MON,derivable,Spend by prescribing segment / month total * 100,derivable,Promo Spend % by Prescribing Segments,Richiede misure/pagine dedicate ma non nuova base dati.
promo,Performance Measurement,Contact Number,base_metric,MON|MQTR|QTR,covered_but_time_grain_gap,"Contact Number or PERIODROLLING(Contact Number,-2,0)",covered_but_time_grain_gap,Promo Contacts,"Il concetto esiste, il frame MON/MQTR no."
promo,Performance Measurement,Share of Contact Number,derived_ratio,MON|MQTR|QTR,partial,Contact Number / total contact number in period * 100,partial,Promo Contacts share,Manca una famiglia esplicita di denominatori/quote contatti.
promo,Performance Measurement,Contact Number with intention to increase Rx,filtered_metric,MON|MQTR|QTR,partial,FILTER(Contact Number USING Future Prescribing = INCREASE),partial,Promo Contacts filtered on prescribing,Concetto presente ma con naming diverso.
promo,Performance Measurement,% of Contact Number with intention to increase Rx,filtered_ratio,MON|MQTR|QTR,partial,Filtered Contact Number / total contacts * 100,partial,Promo Contacts intention increase %,Non formalizzata come misura autonoma.
promo,Performance Measurement,Product Details with Positive Prescribing,filtered_metric,MON|MQTR|QTR,covered_but_time_grain_gap,Positive prescribing filter on Product Details,covered_but_time_grain_gap,Promo Calls with Positive Prescribing,Molto vicino alla misura PBI esistente.
promo,Performance Measurement,Contacts with Positive Prescribing,filtered_metric,MON|MQTR|QTR,covered_but_time_grain_gap,Positive prescribing filter on Contact Number,covered_but_time_grain_gap,Promo Contacts with Positive Prescribing,Molto vicino alla misura PBI esistente.
promo,Performance Measurement,Conversion rate - % of Calls converted in intention to prescribe,derived_ratio,MON|MQTR|QTR,covered_but_time_grain_gap,Positive prescribing calls / Product Details * 100,covered_but_time_grain_gap,Promo Conversion Rate Calls %,Coperta nel modello attuale.
promo,Performance Measurement,Conversion rate - % of Contacts converted in intention to prescribe,derived_ratio,MON|MQTR|QTR,covered_but_time_grain_gap,Positive prescribing contacts / Contact Number * 100,covered_but_time_grain_gap,Promo Conversion Rate Contacts %,Coperta nel modello attuale.
promo,Weighted Calls Analysis,Weighted Calls,base_metric_dynamic,MON|MQTR,partial,"""Calls&Mentions"".""@{measure}{WCalls}"" or PERIODROLLING(...,-2,0)",partial,Promo Weighted Calls,"Base disponibile, ma OAS la usa in una batteria dinamica piu ampia."
promo,Weighted Calls Analysis,SOV% on Weighted Calls,derived_ratio,MON|MQTR,partial,Menarini filtered WCalls / market WCalls * 100,partial,Promo Weighted Calls SOV%,Non esiste una misura esplicita SOV su Weighted Calls.
promo,Weighted Calls Analysis,+/-% on Weighted Calls vs PY,derived_growth_pct,MON|MQTR,missing,Growth % on WCalls and MQTR WCalls,missing,Promo Weighted Calls Δ% vs PY,Mancano le varianti comparative.
promo,Weighted Calls Analysis,Index family,derived_index,MON|MQTR,missing,Corporation share / market share * 100,missing,Promo Weighted Calls Index,Famiglia analitica OAS avanzata non presente nel modello PBI.
promo,Weighted Calls Analysis,% Corp on total / % Market on total,derived_ratio,MON|MQTR,missing,Corp share on total and market share on total,missing,Promo corp-market share family,Necessaria per i report index / ranking OAS.
