business_document_id,business_title,business_entity_type,promo_target_type,promo_target_name,promo_table_name,promo_column_name,match_basis,confidence,review_status,notes
IQVIA-MEASURE-contact-number,Contact Number,measure_definition,fact_measure,CONTACT_NUMBER,f_channel_dynamic_data,CONTACT_NUMBER,exact_business_to_fact_measure,0.99,candidate_unreviewed,Direct measure match.
IQVIA-ATTRIBUTE-contact-type,Contact Type,attribute_definition,table_profile,d_contact_types,d_contact_types,,curated_dimension_mapping,0.97,candidate_unreviewed,Contact type maps to contact type dimension.
IQVIA-ATTRIBUTE-contact-type,Contact Type,attribute_definition,dimension_column,d_contact_types.CONTACT_TYPE,d_contact_types,CONTACT_TYPE,automatic_exact_normalized_match,0.94,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-contact-type,Contact Type,attribute_definition,dimension_column,d_contact_types.CONTACT_TYPE_ID,d_contact_types,CONTACT_TYPE_ID,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-MEASURE-conversion-rate,Conversion Rate,measure_definition,fact_measure,CONVERTED_CONTACTS,f_channel_dynamic_data,CONVERTED_CONTACTS,semantic_inference,0.66,candidate_unreviewed,"Potentially related, but not a 1:1 canonical metric name; validate formula before approval."
IQVIA-GLOSSARY-country,Country,glossary_entry,table_profile,d_countries,d_countries,,curated_dimension_mapping,0.97,candidate_unreviewed,Country glossary entry maps to country dimension.
IQVIA-GLOSSARY-country,Country,glossary_entry,dimension_column,d_countries.COUNTRY,d_countries,COUNTRY,automatic_exact_normalized_match,0.94,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-GLOSSARY-country,Country,glossary_entry,dimension_column,d_countries.COUNTRY_ID,d_countries,COUNTRY_ID,automatic_single_token_overlap,0.6,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-detail-duration-minutes,Detail Duration (minutes),attribute_definition,table_profile,d_details_duration,d_details_duration,,curated_dimension_mapping,0.92,candidate_unreviewed,Business duration bucket likely maps to details duration dimension.
IQVIA-ATTRIBUTE-element-left-other,Element left - Other,attribute_definition,table_profile,d_material_left_other,d_material_left_other,,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-element-left-other,Element left - Other,attribute_definition,dimension_column,d_material_left_other.MATERIAL_LEFT_OTHER_ID,d_material_left_other,MATERIAL_LEFT_OTHER_ID,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-element-left-other,Element left - Other,attribute_definition,dimension_column,d_material_left_other.MATERIAL_LEFT_OTHER,d_material_left_other,MATERIAL_LEFT_OTHER,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-element-left-sample,Element left - Sample,attribute_definition,dimension_column,d_material_left_samples.MATERIAL_LEFT_SAMPLE_ID,d_material_left_samples,MATERIAL_LEFT_SAMPLE_ID,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-element-left-sample,Element left - Sample,attribute_definition,dimension_column,d_material_left_samples.MATERIAL_LEFT_SAMPLE,d_material_left_samples,MATERIAL_LEFT_SAMPLE,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-element-left-sample,Element left - Sample,attribute_definition,fact_column,f_channel_dynamic_data.MATERIAL_LEFT_SAMPLE_ID,f_channel_dynamic_data,MATERIAL_LEFT_SAMPLE_ID,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-GLOSSARY-intbrandname,IntBrandname,glossary_entry,table_profile,d_international_brands,d_international_brands,,curated_dimension_mapping,0.93,candidate_unreviewed,International brand concept maps to international brand dimension.
IQVIA-GLOSSARY-local-brand,Local Brand,glossary_entry,table_profile,d_local_brands,d_local_brands,,curated_dimension_mapping,0.97,candidate_unreviewed,Local brand concept maps to local brand dimension.
IQVIA-GLOSSARY-local-brand,Local Brand,glossary_entry,dimension_column,d_local_brands.LOCAL_BRAND,d_local_brands,LOCAL_BRAND,automatic_exact_normalized_match,0.94,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-GLOSSARY-local-brand,Local Brand,glossary_entry,dimension_column,d_local_brands.LOCAL_BRAND_ID,d_local_brands,LOCAL_BRAND_ID,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-GLOSSARY-manufacturer,Manufacturer,glossary_entry,table_profile,d_manufacturers,d_manufacturers,,curated_dimension_mapping,0.97,candidate_unreviewed,Manufacturer maps to manufacturer dimension.
IQVIA-GLOSSARY-manufacturer,Manufacturer,glossary_entry,dimension_column,d_manufacturers.MANUFACTURER,d_manufacturers,MANUFACTURER,automatic_exact_normalized_match,0.94,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-meeting-type,Meeting type,attribute_definition,table_profile,d_meeting_types,d_meeting_types,,curated_dimension_mapping,0.97,candidate_unreviewed,Meeting type maps to meeting types dimension.
IQVIA-ATTRIBUTE-meeting-type,Meeting type,attribute_definition,dimension_column,d_meeting_types.MEETING_TYPE,d_meeting_types,MEETING_TYPE,automatic_exact_normalized_match,0.94,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-meeting-type,Meeting type,attribute_definition,dimension_column,d_meeting_types.MEETING_TYPE_ID,d_meeting_types,MEETING_TYPE_ID,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-MEASURE-mentions,Mentions,measure_definition,fact_measure,MENTIONS,f_channel_dynamic_data,MENTIONS,exact_business_to_fact_measure,0.99,candidate_unreviewed,Direct measure match.
IQVIA-GLOSSARY-molecule-composition,Molecule (composition),glossary_entry,table_profile,d_molecules,d_molecules,,curated_dimension_mapping,0.97,candidate_unreviewed,Molecule/composition maps to molecule dimension.
IQVIA-ATTRIBUTE-nps-categories,NPS Categories,attribute_definition,table_profile,d_nps,d_nps,,curated_dimension_mapping,0.9,candidate_unreviewed,NPS categories likely represented in shared NPS dimension; confirm attribute split.
IQVIA-ATTRIBUTE-nps-scale,NPS Scale,attribute_definition,table_profile,d_nps,d_nps,,curated_dimension_mapping,0.95,candidate_unreviewed,NPS scale maps to NPS dimension.
IQVIA-ATTRIBUTE-nps-scale,NPS Scale,attribute_definition,dimension_column,d_nps.NPS_SCALE,d_nps,NPS_SCALE,automatic_exact_normalized_match,0.94,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-nps-scale,NPS Scale,attribute_definition,dimension_column,d_nps.NPS_SCALE_ID,d_nps,NPS_SCALE_ID,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-MEASURE-non-weighted-calls,Non-Weighted Calls,measure_definition,fact_measure,NON_WEIGHTED_CALLS,f_channel_dynamic_data,NON_WEIGHTED_CALLS,normalized_business_to_fact_measure,0.99,candidate_unreviewed,Direct measure match after punctuation normalization.
IQVIA-MEASURE-non-weighted-calls,Non-Weighted Calls,measure_definition,fact_measure,WEIGHTED_CALLS,f_channel_dynamic_data,WEIGHTED_CALLS,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-prd-position,PRD Position,attribute_definition,table_profile,d_presentation_position,d_presentation_position,,curated_dimension_mapping,0.93,candidate_unreviewed,Presentation/product position concept maps to presentation position dimension.
IQVIA-ATTRIBUTE-prescription-current,Prescription - Current,attribute_definition,table_profile,d_prescription_current,d_prescription_current,,automatic_exact_normalized_match,0.94,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-prescription-current,Prescription - Current,attribute_definition,dimension_column,d_prescription_current.PRESCRIPTION_CURRENT,d_prescription_current,PRESCRIPTION_CURRENT,automatic_exact_normalized_match,0.94,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-prescription-current,Prescription - Current,attribute_definition,dimension_column,d_prescription_current.PRESCRIPTION_CURRENT_ID,d_prescription_current,PRESCRIPTION_CURRENT_ID,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-prescription-future,Prescription - Future,attribute_definition,table_profile,d_prescription_future,d_prescription_future,,automatic_exact_normalized_match,0.94,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-prescription-future,Prescription - Future,attribute_definition,dimension_column,d_prescription_future.PRESCRIPTION_FUTURE,d_prescription_future,PRESCRIPTION_FUTURE,automatic_exact_normalized_match,0.94,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-prescription-future,Prescription - Future,attribute_definition,dimension_column,d_prescription_future.PRESCRIPTION_FUTURE_ID,d_prescription_future,PRESCRIPTION_FUTURE_ID,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-MEASURE-product-details,Product Details,measure_definition,fact_measure,PRODUCT_DETAILS,f_channel_dynamic_data,PRODUCT_DETAILS,exact_business_to_fact_measure,0.99,candidate_unreviewed,Direct measure match.
IQVIA-MEASURE-quality-index,Quality Index,measure_definition,fact_measure,QUALITY_INDEX,f_channel_dynamic_data,QUALITY_INDEX,exact_business_to_fact_measure,0.99,candidate_unreviewed,Direct measure match.
IQVIA-ATTRIBUTE-quality-of-the-contact,Quality of the contact,attribute_definition,table_profile,d_contact_quality,d_contact_quality,,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-quality-of-the-contact,Quality of the contact,attribute_definition,dimension_column,d_contact_quality.CONTACT_QUALITY_ID,d_contact_quality,CONTACT_QUALITY_ID,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-quality-of-the-contact,Quality of the contact,attribute_definition,dimension_column,d_contact_quality.CONTACT_QUALITY,d_contact_quality,CONTACT_QUALITY,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-representing-company,Representing company,attribute_definition,table_profile,d_representing_company,d_representing_company,,curated_dimension_mapping,0.97,candidate_unreviewed,Representing company maps to dimension.
IQVIA-ATTRIBUTE-representing-company,Representing company,attribute_definition,dimension_column,d_representing_company.REPRESENTING_COMPANY,d_representing_company,REPRESENTING_COMPANY,automatic_exact_normalized_match,0.94,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-representing-company,Representing company,attribute_definition,dimension_column,d_representing_company.REPRESENTING_COMPANY_ID,d_representing_company,REPRESENTING_COMPANY_ID,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-GLOSSARY-specialty,Specialty,glossary_entry,table_profile,d_specialty,d_specialty,,curated_dimension_mapping,0.97,candidate_unreviewed,Specialty maps to specialty dimension.
IQVIA-GLOSSARY-specialty,Specialty,glossary_entry,dimension_column,d_specialty.SPECIALTY,d_specialty,SPECIALTY,automatic_exact_normalized_match,0.94,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-GLOSSARY-specialty,Specialty,glossary_entry,dimension_column,d_specialty.SPECIALTY_ID,d_specialty,SPECIALTY_ID,automatic_single_token_overlap,0.6,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-GLOSSARY-sponsoring-company,Sponsoring company,glossary_entry,table_profile,d_sponsoring_companies,d_sponsoring_companies,,curated_dimension_mapping,0.97,candidate_unreviewed,Sponsoring company maps to dimension.
IQVIA-GLOSSARY-sponsoring-company,Sponsoring company,glossary_entry,dimension_column,d_sponsoring_companies.SPONSORING_COMPANY,d_sponsoring_companies,SPONSORING_COMPANY,automatic_exact_normalized_match,0.94,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-GLOSSARY-sponsoring-company,Sponsoring company,glossary_entry,dimension_column,d_sponsoring_companies.SPONSORING_COMPANY_ID,d_sponsoring_companies,SPONSORING_COMPANY_ID,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-visit-duration-minutes,Visit Duration (minutes),attribute_definition,table_profile,d_visit_duration,d_visit_duration,,curated_dimension_mapping,0.92,candidate_unreviewed,Business duration bucket likely maps to visit duration dimension.
IQVIA-ATTRIBUTE-visit-duration-minutes,Visit Duration (minutes),attribute_definition,dimension_column,d_visit_duration.VISIT_DURATION_ID,d_visit_duration,VISIT_DURATION_ID,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-visit-duration-minutes,Visit Duration (minutes),attribute_definition,dimension_column,d_visit_duration.VISIT_DURATION,d_visit_duration,VISIT_DURATION,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-MEASURE-weighted-calls,Weighted Calls,measure_definition,fact_measure,WEIGHTED_CALLS,f_channel_dynamic_data,WEIGHTED_CALLS,exact_business_to_fact_measure,0.99,candidate_unreviewed,Direct measure match.
IQVIA-MEASURE-weighted-calls,Weighted Calls,measure_definition,fact_measure,NON_WEIGHTED_CALLS,f_channel_dynamic_data,NON_WEIGHTED_CALLS,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
